,GHO,PUBLISHSTATE,YEAR,REGION,COUNTRY,AGEGROUP,SEX,Display Value,Numeric,Low,High,Comments
4672,BP_06,PUBLISHED,1989,AMR,LCA,YEARS18-PLUS,FMLE,122.9 [117.4-128.6],122.9,117.4,128.6,
4673,BP_06,PUBLISHED,2007,AMR,VCT,YEARS18-PLUS,FMLE,122.9 [115.8-129.7],122.9,115.8,129.7,
4674,BP_06,PUBLISHED,2011,EMR,SAU,YEARS18-PLUS,FMLE,121.2 [117.8-124.7],121.2,117.8,124.7,
4675,BP_06,PUBLISHED,1989,AFR,SYC,YEARS18-PLUS,FMLE,126.9 [123.0-130.6],126.9,123.0,130.6,
4676,BP_06,PUBLISHED,1988,AFR,SLE,YEARS18-PLUS,FMLE,129.7 [124.4-134.9],129.7,124.4,134.9,
4677,BP_06,PUBLISHED,1981,EUR,SVK,YEARS18-PLUS,FMLE,128.0 [121.7-134.1],128.0,121.7,134.1,
4678,BP_06,PUBLISHED,2015,WPR,SLB,YEARS18-PLUS,FMLE,125.0 [118.4-131.6],125.0,118.4,131.6,
4679,BP_06,PUBLISHED,1984,EUR,ESP,YEARS18-PLUS,FMLE,125.9 [122.9-128.9],125.9,122.9,128.9,
4680,BP_06,PUBLISHED,1986,EUR,ESP,YEARS18-PLUS,FMLE,125.1 [122.7-127.7],125.1,122.7,127.7,
4681,BP_06,PUBLISHED,1986,WPR,MNG,YEARS18-PLUS,FMLE,127.5 [121.3-133.4],127.5,121.3,133.4,
4682,BP_06,PUBLISHED,1979,EUR,MNE,YEARS18-PLUS,FMLE,128.1 [118.8-137.1],128.1,118.8,137.1,
4683,BP_06,PUBLISHED,1995,EMR,MAR,YEARS18-PLUS,FMLE,127.3 [120.0-134.5],127.3,120.0,134.5,
4684,BP_06,PUBLISHED,2014,AFR,MOZ,YEARS18-PLUS,FMLE,132.3 [125.1-139.7],132.3,125.1,139.7,
4685,BP_06,PUBLISHED,2014,SEAR,MMR,YEARS18-PLUS,FMLE,123.0 [115.5-130.6],123.0,115.5,130.6,
4686,BP_06,PUBLISHED,1983,WPR,NRU,YEARS18-PLUS,FMLE,130.2 [126.7-133.7],130.2,126.7,133.7,
4687,BP_06,PUBLISHED,1993,WPR,NRU,YEARS18-PLUS,FMLE,125.5 [122.0-128.9],125.5,122.0,128.9,
4688,BP_06,PUBLISHED,1977,WPR,NZL,YEARS18-PLUS,FMLE,126.3 [121.0-131.5],126.3,121.0,131.5,
4689,BP_06,PUBLISHED,2009,WPR,NZL,YEARS18-PLUS,FMLE,118.3 [115.0-121.6],118.3,115.0,121.6,
4690,BP_06,PUBLISHED,2007,WPR,NIU,YEARS18-PLUS,FMLE,124.2 [119.6-129.0],124.2,119.6,129.0,
4691,BP_06,PUBLISHED,1975,EUR,NOR,YEARS18-PLUS,FMLE,132.6 [125.8-139.3],132.6,125.8,139.3,
4692,BP_06,PUBLISHED,1993,EMR,OMN,YEARS18-PLUS,FMLE,128.2 [123.4-133.0],128.2,123.4,133.0,
4693,BP_06,PUBLISHED,2011,WPR,PNG,YEARS18-PLUS,FMLE,123.9 [118.5-129.9],123.9,118.5,129.9,
4694,BP_06,PUBLISHED,1997,AMR,PRY,YEARS18-PLUS,FMLE,122.7 [115.4-129.8],122.7,115.4,129.8,
4695,BP_06,PUBLISHED,2010,AMR,PRY,YEARS18-PLUS,FMLE,122.5 [114.6-129.8],122.5,114.6,129.8,
4696,BP_06,PUBLISHED,1997,EUR,PRT,YEARS18-PLUS,FMLE,127.5 [123.4-131.6],127.5,123.4,131.6,
4697,BP_06,PUBLISHED,1993,EUR,ROU,YEARS18-PLUS,FMLE,127.0 [122.8-130.8],127.0,122.8,130.8,
4698,BP_06,PUBLISHED,2009,EUR,RUS,YEARS18-PLUS,FMLE,124.7 [121.3-127.9],124.7,121.3,127.9,
4699,BP_06,PUBLISHED,1985,AMR,KNA,YEARS18-PLUS,FMLE,125.3 [118.1-132.3],125.3,118.1,132.3,
4700,BP_06,PUBLISHED,2009,AMR,KNA,YEARS18-PLUS,FMLE,126.2 [120.8-131.7],126.2,120.8,131.7,
4701,BP_06,PUBLISHED,2013,AMR,LCA,YEARS18-PLUS,FMLE,125.3 [119.9-130.4],125.3,119.9,130.4,
4702,BP_06,PUBLISHED,1978,WPR,WSM,YEARS18-PLUS,FMLE,121.7 [116.1-127.3],121.7,116.1,127.3,
4703,BP_06,PUBLISHED,1989,WPR,WSM,YEARS18-PLUS,FMLE,120.9 [116.9-124.9],120.9,116.9,124.9,
4704,BP_06,PUBLISHED,2013,EMR,SAU,YEARS18-PLUS,FMLE,120.3 [116.3-124.5],120.3,116.3,124.5,
4705,BP_06,PUBLISHED,1983,AFR,SEN,YEARS18-PLUS,FMLE,127.8 [119.9-135.9],127.8,119.9,135.9,
4706,BP_06,PUBLISHED,1990,EUR,SRB,YEARS18-PLUS,FMLE,130.4 [126.9-134.1],130.4,126.9,134.1,
4707,BP_06,PUBLISHED,1993,EUR,SVN,YEARS18-PLUS,FMLE,129.3 [122.8-135.9],129.3,122.8,135.9,
4708,BP_06,PUBLISHED,2002,WPR,SLB,YEARS18-PLUS,FMLE,121.5 [116.8-126.1],121.5,116.8,126.1,
4709,BP_06,PUBLISHED,1989,AFR,ZAF,YEARS18-PLUS,FMLE,129.2 [126.4-132.2],129.2,126.4,132.2,
4710,BP_06,PUBLISHED,2010,AMR,SUR,YEARS18-PLUS,FMLE,123.1 [115.3-130.7],123.1,115.3,130.7,
4711,BP_06,PUBLISHED,2015,AFR,MRT,YEARS18-PLUS,FMLE,127.9 [118.5-137.5],127.9,118.5,137.5,
4712,BP_06,PUBLISHED,1991,AFR,MUS,YEARS18-PLUS,FMLE,123.4 [120.1-126.7],123.4,120.1,126.7,
4713,BP_06,PUBLISHED,1998,SEAR,MMR,YEARS18-PLUS,FMLE,121.2 [115.6-126.8],121.2,115.6,126.8,
4714,BP_06,PUBLISHED,1986,EUR,MNE,YEARS18-PLUS,FMLE,128.4 [121.0-135.8],128.4,121.0,135.8,
4715,BP_06,PUBLISHED,2001,WPR,NRU,YEARS18-PLUS,FMLE,123.2 [119.8-126.4],123.2,119.8,126.4,
4716,BP_06,PUBLISHED,2008,SEAR,MMR,YEARS18-PLUS,FMLE,122.4 [117.0-127.8],122.4,117.0,127.8,
4717,BP_06,PUBLISHED,1983,AFR,MOZ,YEARS18-PLUS,FMLE,125.8 [118.7-132.5],125.8,118.7,132.5,
4718,BP_06,PUBLISHED,2015,WPR,NRU,YEARS18-PLUS,FMLE,122.0 [114.2-129.8],122.0,114.2,129.8,
4719,BP_06,PUBLISHED,1995,EUR,NLD,YEARS18-PLUS,FMLE,124.4 [121.8-127.0],124.4,121.8,127.0,
4720,BP_06,PUBLISHED,1984,WPR,NRU,YEARS18-PLUS,FMLE,129.6 [126.3-133.1],129.6,126.3,133.1,
4721,BP_06,PUBLISHED,1979,WPR,NZL,YEARS18-PLUS,FMLE,125.8 [121.3-130.2],125.8,121.3,130.2,
4722,BP_06,PUBLISHED,1993,WPR,NZL,YEARS18-PLUS,FMLE,122.5 [118.5-126.4],122.5,118.5,126.4,
4723,BP_06,PUBLISHED,2004,WPR,NIU,YEARS18-PLUS,FMLE,123.6 [118.6-128.9],123.6,118.6,128.9,
4724,BP_06,PUBLISHED,1981,SEAR,PRK,YEARS18-PLUS,FMLE,126.0 [118.3-133.0],126.0,118.3,133.0,
4725,BP_06,PUBLISHED,2008,WPR,PLW,YEARS18-PLUS,FMLE,128.5 [123.5-133.4],128.5,123.5,133.4,
